===FILE_START
:::FILE_INFO_START
   file_name       	template.atst.txt
   format          	ATST
   format_version  	0.1
   created_on      	2026-06-02
   field_delimiter 	TAB
   encoding        	UTF-8
:::FILE_INFO_END

:::STUDY_START
   title    	Pseudomonas phage screening
   study_id 	pseud_vs_panel_sceen_2025_2026
   description 	This is the study description
:::STUDY_END

:::METADATA_START
   instrument      	LogPhase600
   plate_type      	Corning 96 well for LogPhase600
   date_start      	2026_03_12
   operator        	LB
   experiment_type 	QC
:::METADATA_END

:::ASSAY_START
   readout_type   	absorbance
   readout_unit   	od600
   time_unit      	seconds
   plate_format   	96_well
   read_wavelenth 	600nm
:::ASSAY_END

:::LAYOUT_SCHEMA_START
%%%TYPE_DEFINITIONS_START
   well_loc 	string
   type     	CATEGORICAL(treated, phage_host_0_01, phage_only, host_only, phage_host_0_1, lb_control, isolate_control, pao1_control)
   isolate  	string
   phage    	string
   MOI      	float
   comments 	string
%%%TYPE_DEFINITIONS_END

%%%TYPE_CONSTRAINTS_START
type            	REQUIRED_COLUMNS    	OPTIONAL_COLUMNS
treated         	MOI, isolate, phage 	comments
phage_host_0_01 	phage, isolate, MOI 	comments
phage_host_0_1  	MOI, phage, isolate 	comments
lb_control      	                    	comments
isolate_control 	isolate             	comments
pao1_control    	isolate             	comments
%%%TYPE_CONSTRAINTS_END
:::LAYOUT_SCHEMA_END

:::LAYOUT_START
well_loc 	type             	isolate       	phage 	MOI  	comments
A1       	treated          	plate_isolate 	4TWA  	0.1  	
A2       	treated          	plate_isolate 	VKO7  	0.1  	
A3       	treated          	plate_isolate 	Z6TS  	1    	
A4       	treated          	plate_isolate 	LG65  	0.1  	
A5       	treated          	plate_isolate 	4TWA  	1123 	
A6       	treated          	plate_isolate 	VKO7  	13   	
A7       	treated          	plate_isolate 	Z6TS  	1312 	
A8       	treated          	plate_isolate 	LG65  	1412 	
A9       	phage_host_0_01  	M079          	4TWA  	5435 	
A10      	phage_host_0_1   	M090          	VKO7  	63   	
A11      	phage_host_0_1   	M034          	Z6TS  	0.1  	
A12      	phage_host_0_1   	M108          	LG65  	0.1  	
B1       	treated          	plate_isolate 	V1IB  	0.01 	
B2       	treated          	plate_isolate 	WDPI  	0.01 	
B3       	treated          	plate_isolate 	NC61  	0.01 	
B4       	treated          	plate_isolate 	J5TC  	0.01 	
B5       	treated          	plate_isolate 	V1IB  	0.1  	
B6       	treated          	plate_isolate 	WDPI  	0.1  	
B7       	treated          	plate_isolate 	NC61  	0.1  	
B8       	treated          	plate_isolate 	J5TC  	0.1  	
B9       	phage_host_0_1   	M081          	V1IB  	0.1  	
B10      	phage_host_0_1   	M081          	WDPI  	0.1  	
B11      	phage_host_0_1   	M052          	NC61  	0.1  	
B12      	phage_host_0_1   	M074          	J5TC  	0.1  	
C1       	treated          	plate_isolate 	N5HX  	0.01 	
